"ES_ID","Paper_ID","Group_ID","Journal_ID","Pub_year","rho","rho2","urbmax","urbmin","total_nests","variance","source","death_cause","partial_predation","Nest_type","Egg_number","Fake_eggs","Fake_proportion","Nest_position","Nest_height","Nest_openness","Study_days","Study_year","Median_year","Continent","Species","Species_latin","Zr","Zr2","VZr"
"ES001","P001","G001","ECOGRA",2003,-0.1661148,-0.1198831,4,3,240,0.004219409,"percentage","yes","pred","art",2,1,0.5,"elevated",1.5,"cup",18,"2001",2001,"nam",NA,NA,-0.167668537660311,-0.12046242214146,0.00421940928270042
"ES002","P002","G002","ECOGRA",1999,0.3752441,0.3752441,5,1,48,0.022222222,"figure","yes","pred","art",2,0,0,"elevated",2,"cup",12,"1997",1997,"nam",NA,NA,0.394512754084658,0.394512754084658,0.0222222222222222
"ES003","P002","G002","ECOGRA",1999,0.4904501,0.4904501,5,1,47,0.022727273,"figure","yes","pred","art",2,0,0,"elevated",2,"cup",12,"1996",1996,"nam",NA,NA,0.536652823418095,0.536652823418095,0.0227272727272727
"ES004","P002","G002","ECOGRA",1999,0.5202793,0.5202793,5,1,48,0.022222222,"figure","yes","pred","art",2,0,0,"ground",0,"cup",12,"1996",1996,"nam",NA,NA,0.576722643706689,0.576722643706689,0.0222222222222222
"ES005","P002","G002","ECOGRA",1999,0.6193801,0.6193801,5,1,48,0.022222222,"figure","yes","pred","art",2,0,0,"ground",0,"cup",12,"1997",1997,"nam",NA,NA,0.72399873065749,0.72399873065749,0.0222222222222222
"ES006","P003","G003","ECOLOG",1985,-0.3977309,-0.3977309,3,1,287,0.003521127,"percentage","yes","pred","art",3,0,0,"mix",0.75,"cup",7,"1983",1983,"nam",NA,NA,-0.420950529799263,-0.420950529799263,0.00352112676056338
"ES007","P004","G004","NZJECO",2008,-0.02051957,-0.02051957,4,3,120,0.008547009,"percentage","yes","pred","art",2,2,1,"elevated",1.65,"cup",19,"2006",2006,"oce",NA,NA,-0.0205224506682626,-0.0205224506682626,0.00854700854700855
"ES008","P005","G005","LAURPL",2009,-0.1147079,-0.1147079,5,2,75,0.013888889,"numbers","yes","pred","art",3,3,1,"elevated",2.25,"cup",15,"2007",2007,"lam",NA,NA,-0.115215014715331,-0.115215014715331,0.0138888888888889
"ES009","P006","G006","CONDOR",2008,0.0702667,0.0702667,4,1,189,0.005376344,"numbers","yes","pred","nat",3.8,0,0,"elevated",5,"cup",25,"1997-2002&2005-2008",2001,"nam","Golden_cheeked_warbler","Dendroica_chrysoparia",0.0703826889540132,0.0703826889540132,0.00537634408602151
"ES010","P009","G008","ECOAPP",2010,0.2893205,0.2893205,5,1,318,0.003174603,"percentage","yes","pred","art",3,1,0.333333333,"elevated",1.5,"cup",14,"2001-2002",2001.5,"nam",NA,NA,0.297824529887643,0.297824529887643,0.00317460317460317
"ES011","P012","G011","BIJOLS",2010,0.2690654,0.2690654,4,1,187,0.005434783,"percentage","yes","alive","nat",2.7,0,0,"elevated",NA,"cup",27,"2007",2007,"eur","Common_blackbird","Turdus_merula",0.27585600688315,0.27585600688315,0.00543478260869565
"ES012","P013","G012","CONDOR",2000,-0.7229988,-0.7229988,5,1,63,0.016666667,"percentage","yes","pred","art",1,0,0,"ground",0,"cup",21,"1996",1996,"eur",NA,NA,-0.913899850880053,-0.913899850880053,0.0166666666666667
"ES013","P013","G012","CONDOR",2000,-0.6460145,-0.6460145,5,1,231,0.004385965,"percentage","yes","pred","art",1.5,0.216,0.144,"ground",0,"cup",21,"1993&1996-1998",1996,"eur",NA,NA,-0.768428119294914,-0.768428119294914,0.0043859649122807
"ES014","P013","G012","CONDOR",2000,-0.4526019,-0.4526019,5,4,32,0.034482759,"percentage","yes","pred","art",1,0,0,"ground",0,"cup",21,"1997",1997,"eur",NA,NA,-0.487967657761853,-0.487967657761853,0.0344827586206897
"ES015","P013","G012","CONDOR",2000,-0.4058067,-0.4058067,5,4,52,0.020408163,"percentage","yes","pred","art",1,0,0,"ground",0,"cup",21,"1995",1995,"eur",NA,NA,-0.430580946699913,-0.430580946699913,0.0204081632653061
"ES016","P014","G013","AVOCET",2014,-0.1117002,-0.1117002,4,2,220,0.004608295,"numbers","yes","pred","nat",2.3,0,0,"elevated",2.8,"orb",NA,"2007",2007,"asi","Purple_sunbird","Nectarinia_asiatica",-0.112168267758868,-0.112168267758868,0.00460829493087558
"ES017","P015","G014","AMMIDN",1999,-0.07348714,-0.09894381,3,2,177,0.005747126,"percentage","yes","pred","art",3,0,0,"ground",0,"cup",7,"1991",1991,"nam",NA,NA,-0.0736198559587141,-0.0992686025471673,0.00574712643678161
"ES018","P015","G014","AMMIDN",1999,0.07382731,0.05643216,3,2,177,0.005747126,"percentage","yes","pred","art",3,0,0,"elevated",NA,"cup",7,"1991",1991,"nam",NA,NA,0.0739618815833917,0.0564921791295685,0.00574712643678161
"ES019","P020","G008","WIJOOR",2008,0.4565705,0.4565705,4,2,72,0.014492754,"numbers","yes","alive","nat",6.3,0,0,"elevated",2.75,"hole",28,"2004",2004,"nam","House_wren","Troglodytes_aedon",0.492969997799711,0.492969997799711,0.0144927536231884
"ES020","P025","G019","NOWSCI",2005,-0.7905694,-0.7905694,4,1,9,0.166666667,"numbers","yes","alive","nat",NA,0,NA,"elevated",10,"cup",16,"1995-2002",1998.5,"nam","Stellers_jay","Cyanocitta_stelleri",-1.07294826462241,-1.07294826462241,0.166666666666667
"ES021","P027","G021","JOUZOO",1985,0.117698,0.117698,5,2,65,0.016129032,"numbers","no","alive","nat",6,0,0,"elevated",NA,"cup",NA,"1983",1983,"eur","Magpie","Pica_pica",0.118246045486438,0.118246045486438,0.0161290322580645
"ES022","P029","G023","AUSECO",2006,-0.2689572,-0.2689572,4,1,112,0.009174312,"numbers","no","alive","nat",NA,0,NA,"elevated",10,"cup",48,"2003-2004",2003.5,"aus","White_winged_chough","Corcorax_melanorhamphos",-0.275739365916922,-0.275739365916922,0.00917431192660551
"ES023","P031","G025","ENVPOL",2013,0.1813691,0.1813691,5,1,21,0.055555556,"numbers","yes","alive","nat",7,0,0,"elevated",4.25,"hole",NA,"2005",2005,"afr","Blue_tit","Cyanistes_caeruleus",0.183397994201393,0.183397994201393,0.0555555555555556
"ES024","P031","G025","ENVPOL",2013,0.3281651,0.3281651,5,1,28,0.04,"numbers","yes","alive","nat",7,0,0,"elevated",4.25,"hole",NA,"2007",2007,"afr","Blue_tit","Cyanistes_caeruleus",0.340770509392104,0.340770509392104,0.04
"ES025","P031","G025","ENVPOL",2013,0.3664646,0.3664646,5,1,37,0.029411765,"numbers","yes","alive","nat",7,0,0,"elevated",4.25,"hole",NA,"2006",2006,"afr","Blue_tit","Cyanistes_caeruleus",0.384333110601395,0.384333110601395,0.0294117647058824
"ES026","P033","G026","LAURPL",1997,0.0999144,0.0999144,3,2,374,0.002695418,"percentage","yes","pred","art",2,0,0,"mix",0.375,"cup",7,"1993-1994",1993.5,"nam",NA,NA,0.100248883832003,0.100248883832003,0.00269541778975741
"ES027","P035","G028","JOUGLR",2007,-0.2030993,-0.231355,5,1,349,0.002890173,"numbers","yes","alive","nat",NA,0,NA,"elevated",NA,"cup",20,"2002",2002,"nam","Red_winged_blackbird","Agelaius_phoeniceus",-0.205963088700953,-0.235620621805905,0.00289017341040462
"ES028","P037","G030","JOWIMA",1997,-0.2593831,-0.2593831,3,1,649,0.001547988,"percentage","yes","none","art",1,0,0,"mix",0.55,"cup",13,"1989-1990",1989.5,"nam",NA,NA,-0.265446894660661,-0.265446894660661,0.00154798761609907
"ES029","P037","G030","JOWIMA",1997,-0.0623336,-0.0623336,3,1,672,0.001494768,"percentage","yes","none","art",1,0,0,"ground",0,"cup",13,"1989-1990",1989.5,"nam",NA,NA,-0.062414520670571,-0.062414520670571,0.00149476831091181
"ES030","P038","G030","AMMIDN",2002,0.01315336,0.01315336,3,1,1032,0.000971817,"percentage","yes","none","art",1,0,0,"ground",0,"cup",13,"1989-1990",1989.5,"nam",NA,NA,0.0131541186368794,0.0131541186368794,0.000971817298347911
"ES031","P038","G030","AMMIDN",2002,0.1547591,0.1547591,3,1,883,0.001136364,"percentage","yes","none","art",1,0,0,"mix",0.55,"cup",13,"1989-1990",1989.5,"nam",NA,NA,0.156012677144392,0.156012677144392,0.00113636363636364
"ES032","P039","G012","ECOGRA",2005,-0.2969848,-0.2969848,5,1,90,0.011494253,"numbers","yes","none","art",1,0,0,"ground",0,"cup",14,"2001",2001,"eur",NA,NA,-0.306209475848439,-0.306209475848439,0.0114942528735632
"ES033","P039","G012","ECOGRA",2005,-0.1716934,-0.1716934,5,1,90,0.011494253,"numbers","yes","none","art",1,0,0,"ground",0,"cup",14,"2001",2001,"eur",NA,NA,-0.173410978058556,-0.173410978058556,0.0114942528735632
"ES034","P039","G012","ECOGRA",2005,-0.09689628,0.1897367,5,1,90,0.011494253,"numbers","yes","none","art",1,0,0,"ground",0,"cup",14,"2001",2001,"eur",NA,NA,-0.0972012493212032,0.192064022272947,0.0114942528735632
